id_palabra,Palabra,id_cronista,id_texto,cita,pagina
6001,Andaguaylas,6,T6001,"Y esto experimenté yo, porque anduve un año menos veinte días por ellas y ningún mes hubo que no tuviese yo nieve, excepto hebrero, que por estar en el valle de <strong>Andaguaylas</strong>, que es baxo, no la tuve; pero en el dicho mes de hebrero los corredores y personas que envié a traer mantenimientos y anduvieron fuera del dicho valle pasaron grandes nieves y fríos.",20
6002,Andes,6,T6002,"Y todas las otras partes donde no hay regadío de río o de fuentes, son muy secas y sin planta ni río alguno.  Y siendo esto así, hay las cordilleras que dicen de los <strong>Andes</strong> (que es en [e]spañol, de los montes), que son mucho número de leguas y de ellas responde mucha parte en paralelos y climas a toda esta otra parte de los llanos, donde no llueve y adonde no hay hoja, fuera de lo regadío [...]",26
6002,Andes,6,T6003,"La razón parece, en lo de los llanos, de la continua calor ya dicha; y en lo de los <strong>Andes</strong>, por ser como es aquella cordillera de valles de tierra no tan baxa como la de los llanos y no tan altas como la de las sierras, sino puestas en la proporción y sitio que ni les falta el calor necesario para regalar el aire y convertirlo en agua, ni la humedad necesaria para materia de vapores acuosos, especialmente que la vicindad de la Sierra ayuda para esto y la muchedumbre de los árboles y hojas y yerbas que en las dichas cordilleras continuamente hay, parece que están siempre humeando nieblas del agua.",27
6003,Arequipa,6,T6004,"Y entra lo que dicen del Nuevo Reino, donde ahora se ha puesto Chancillería; y entra lo que al presente está subjeto a la Chancillería que reside, después del desbarato y castigo de Gonçalo Pizarro, en la ciudad de los Reyes, que por nombre antiguo de indios se llama <i>Lima</i>, que son las ciudades con sus términos de <i>Quito</i>, <i>Loxa</i>, Puerto Viejo, <i>Guayaquil</i>, Jaén, <i>Piura</i>, <i>Chachapoyas</i>, Santiago de los Valles, Trujillo, <i>Guánuco</i>, la misma ciudad de los Reyes, <i>Guamanga</i>, el <i>Cuzco</i>, <strong>Arequipa</strong>, Nuestra Señora de la Paz, la Villa de la Plata [...]",6
6003,Arequipa,6,T6005,"Porque hay más de setecientas leguas Norte-Sur donde nunca hace frío, que es lo de la costa: desde el principio, hacia la parte de la Buenaventura, hasta más arriba de <strong>Arequipa</strong>, Y hay más de mil leguas por la tierra adentro asimismo Norte-Sur, donde hay más nieve perpetua que en toda Europa [...]",15
6004,Bahama,6,T6006,"[…] las aguas de la mar corren de los polos hacia la equinoccial por la mucha generación que debaxo de los polos se causa de agua, pero la corriente de aguas del polo Antártico es muy mayor que no la del polo Artico, porque se experimenta que las aguas que vienen de hacia el polo Antártico corren por la costa del <i>Brasil</i> y de la que dicen de <i>Veneçuela</i> y Cabo de Vela y Santa Marta, Cartagena y Nombre de Dios, Honduras y costa de la Florida y hasta desembocarla a canal de <strong>Bahama</strong>, que es no sólo pasar hasta la equinoccial, pero aun pasar más de cuatro grados del Trópico del Cancro, porque la boca está casi en XXVIII grados de esta parte de la equinoccial hacia el Norte y, así, parece que tiene muy mayor fuerça y son muy mayores las corrientes que vienen del polo Antártico que no las del Artico.",47
6005,Biobio,6,T6007,"Y ansimismo cae en lo que Su Magestad en la dicha provisión llama <i>Perú</i>, la provincia que dicen de <i>Chile</i>, que al presente gobierna, descubre y pacifica en nombre de Su Magestad y por provisión que para ello yo le di, por virtud del poder que de Su Magestad tuve para dar gobernaciones y conquistas, el gobernador y capitán Pedro de Valdivia, donde cuando salí del <i>Perú</i> dexé pobladas de cristianos tres ciudades que son La Serena (en nombre de indios, <i>Chimbo</i>), y Santiago (en nombre de indios, <i>Chilo</i>) y otra ciudad en la provincia que dicen de <strong>Biobio</strong>.",7
6006,Brasil,6,T6008,"[…] las aguas de la mar corren de los polos hacia la equinoccial por la mucha generación que debaxo de los polos se causa de agua, pero la corriente de aguas del polo Antártico es muy mayor que no la del polo Artico, porque se experimenta que las aguas que vienen de hacia el polo Antártico corren por la costa del <strong>Brasil</strong> y de la que dicen de <i>Veneçuela</i> y Cabo de Vela y Santa Marta, Cartagena y Nombre de Dios, Honduras y costa de la Florida y hasta desembocarla a canal de <i>Bahama</i>, que es no sólo pasar hasta la equinoccial, pero aun pasar más de cuatro grados del Trópico del Cancro, porque la boca está casi en XXVIII grados de esta parte de la equinoccial hacia el Norte y, así, parece que tiene muy mayor fuerça y son muy mayores las corrientes que vienen del polo Antártico que no las del Artico.",47
6007,Chachapoyas,6,T6009,"Y entra lo que dicen del Nuevo Reino, donde ahora se ha puesto Chancillería; y entra lo que al presente está subjeto a la Chancillería que reside, después del desbarato y castigo de Gonçalo Pizarro, en la ciudad de los Reyes, que por nombre antiguo de indios se llama <i>Lima</i>, que son las ciudades con sus términos de <i>Quito</i>, <i>Loxa</i>, Puerto Viejo, <i>Guayaquil</i>, Jaén, <i>Piura</i>, <strong>Chachapoyas</strong>, Santiago de los Valles, Trujillo, <i>Guánuco</i>, la misma ciudad de los Reyes, <i>Guamanga</i>, el <i>Cuzco</i>, <strong>Arequipa</strong>, Nuestra Señora de la Paz, la Villa de la Plata [...]",6
6008,Charcas,6,T6010,"[...] de las cuales hice poblar después del desbarato de Gonçalo Pizarro, a <i>Loxa</i> y Jaén y a Santiago de los Valles y a Nuestra Señora de la Paz, y dexé poblando más adelante de <i>Loxa</i> al capitán Mercadillo otro pueblo, y al capitán Diego Palomino otro más adelante de Jaén, y al capitán Baçán otro en la provincia de <i>Çumaco, que es a la parte de Quito, y al capitán Benavente dexé poblando otros dos en la provincia que dicen de Macas, y al capitán Juan Nuñez de Prado poblando otro en la Provincia que dicen de Tucumán, que es adelante de los Charcas, entre lo que dicen del Río de la Plata y la provincia de Chile [...]",7
